"CountryName","dom_move-CountryCode","dom_move-Date","Domestic Movement","dom_move-PolicyValue","dom_move-Flag","dom_move-Notes","dom_move-region","dom_move-value"
"Aruba","ABW",20200907,"C7: Restrictions on internal movement",0,NA,"No data found","aruba","no measures"
"Afghanistan","AFG",20200826,"C7: Restrictions on internal movement",0,NA,"Lockdown measures are no longer enforced, provincial borders have opened again https://web.archive.org/web/20200904195409/https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","no measures"
"Angola","AGO",20200929,"C7: Restrictions on internal movement",2,"Regional","Angolan Authorities extended the sanitary restrictions in Luanda until October 8.  Also, the Angolan government requires proof of a negative RT-PCR COVID-19 test for all travel in and out of Luanda Province.  Travellers who cannot show proof of a negative test result are subject to a mandatory 14-day quarantine in a government-run facility. See: https://ao.usembassy.gov/covid-19-information/ [accessed 8th October, 2020, web archive unavailable]? ","angola","restrictions in place"
"Albania","ALB",20200807,"C7: Restrictions on internal movement",0,NA,"""There are currently no restrictions on movement within Albania'     http://web.archive.org/web/20200817080250/https://www.gov.uk/foreign-travel-advice/albania/staying-during-coronavirus","albania","no measures"
"Andorra","AND",20200707,"C7: Restrictions on internal movement",0,NA,"No major changes noted since 07/07/2020","andorra","no measures"
"United Arab Emirates","ARE",20201003,"C7: Restrictions on internal movement",1,"Regional","Internal movement is permitted, but several restrictions apply for different regions. Abu Dhabi has strict restrictions and mandatory actions that have to be carried out to travel there by road.    ""Visitors can travel to Abu Dhabi by road, but must present a negative COVID-19 PCR test or negative laser blood test with results received within 48 hours. Abu Dhabi residents or visitors from outside the Abu Dhabi Emirates who enter Abu Dhabi and stay for more than six consecutive days or more are required to take an additional COVID-19 PCR test on the sixth day.  Travelers arriving into Abu Dhabi are required to wear a GPS bracelet for 14 days. Guidance can change regularly. For additional information about quarantine and travel restrictions for arrivals in Abu Dhabi, please visit Etihad’s website, official Abu Dhabi government sources, and official media sources.""    https://web.archive.org/web/20201010010211/https://ae.usembassy.gov/u-s-citizen-services/covid-19-information/","united arab emirates","recommend not to travel between regions"
"Argentina","ARG",20201001,"C7: Restrictions on internal movement",2,"National","Travel between cities, departments, and provinces is restricted.    The government of Argentina has implemented additional travel restrictions to limit the spread of COVID-19. Only travelers with confirmed international flight reservations may travel from the provinces to the Buenos Aires metro area 24 hours in advance of the flight.    Link: https://web.archive.org/web/20201009214732/https://ar.usembassy.gov/covid-19/","argentina","restrictions in place"
"Australia","AUS",20200828,"C7: Restrictions on internal movement",2,"Regional","Some states have closed borders to states with active cases of coronavirus. Within Victoria, people in metropolitan Melbourne are not allowed to travel further than 5km from their home. ","australia","restrictions in place"
"Austria","AUT",20200917,"C7: Restrictions on internal movement",0,NA,"No policy change","austria","no measures"
"Azerbaijan","AZE",20200929,"C7: Restrictions on internal movement",2,"Regional","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/   ","azerbaijan","restrictions in place"
"Burundi","BDI",20200922,"C7: Restrictions on internal movement",0,NA,"No policy change found","burundi","no measures"
"Belgium","BEL",20200930,"C7: Restrictions on internal movement",0,NA,"""In Belgium  You are allowed to move around freely.  If you are using public transport (bus, tram or train) and are you older than 12 years of age, wear a face mask or a scarf covering your mouth and nose.""    https://web.archive.org/web/20201010013257if_/https://www.info-coronavirus.be/en/faq/#id_6","belgium","no measures"
"Benin","BEN",20200915,"C7: Restrictions on internal movement",1,"National","'Travel within the country should be limited to essential travel only.'  https://web.archive.org/web/20200720145911/https://www.gov.uk/foreign-travel-advice/benin/coronavirus","benin","recommend not to travel between regions"
"Burkina Faso","BFA",20200922,"C7: Restrictions on internal movement",0,NA,"There is no curfew in place in Burkina Faso. There are no restrictions on intercity or interstate travel. See: https://bf.usembassy.gov/u-s-citizen-services/covid-19-information/ [web archive unavailable, accessed 1st October 2020, webpage last updated 25th September 2020]    ","burkina faso","no measures"
"Bangladesh","BGD",20200716,"C7: Restrictions on internal movement",2,"Regional","Restrictions on movements on red zones i.e. zones under lockdown. Source:  http://archive.fo/5fpjF#selection-821.0-821.192","bangladesh","restrictions in place"
"Bulgaria","BGR",20200912,"C7: Restrictions on internal movement",0,NA,"No change","bulgaria","no measures"
"Bahrain","BHR",20200928,"C7: Restrictions on internal movement",0,NA,"No new restriction. ","bahrain","no measures"
"Bosnia and Herzegovina","BIH",20200831,"C7: Restrictions on internal movement",0,NA,"    http://web.archive.org/web/20200829101240/https://ba.usembassy.gov/covid-19-information/","bosnia and herzegovina","no measures"
"Belarus","BLR",20200908,"C7: Restrictions on internal movement",0,NA,"No change in policy found.","belarus","no measures"
"Belize","BLZ",20200929,"C7: Restrictions on internal movement",2,"Regional","There are restrictions on travel to certain communities that are experiencing large COVID-19 outbreaks. See: https://bz.usembassy.gov/covid-19-information/ [accessed 8th October 2020, web archive unavailable]","belize","restrictions in place"
"Bermuda","BMU",20200929,"C7: Restrictions on internal movement",0,NA,"No change","bermuda","no measures"
"Bolivia","BOL",20200921,"C7: Restrictions on internal movement",2,"National","No change in policy found     http://web.archive.org/web/20201001095534/https://www.minsalud.gob.bo/4559-bolivia-iniciara-en-septiembre-la-transicion-hacia-la-fase-pos-confinamiento-y-de-vigilancia-comunitaria","bolivia","restrictions in place"
"Brazil","BRA",20200914,"C7: Restrictions on internal movement",2,"Regional","In BA inter-municipal transportation remains suspended in 114 cities.    Link:  https://web.archive.org/web/20200915025918/https://g1.globo.com/ba/bahia/noticia/2020/09/14/covid-19-governo-da-bahia-libera-transporte-intermunicipal-em-303-cidades-114-seguem-com-atividade-suspensa.ghtml  ","brazil","restrictions in place"
"Barbados","BRB",20200831,"C7: Restrictions on internal movement",0,NA,"No restrictions on intercity or interstate travel.    https://web.archive.org/web/20200910131310/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/","barbados","no measures"
"Brunei","BRN",20200727,"C7: Restrictions on internal movement",0,NA,"Members of the public are still required to comply with physical distancing guidelines even when businesses and public services return to full operations.  https://web.archive.org/web/20200729111541/https://thescoop.co/2020/07/23/brunei-proceeds-to-final-phase-of-de-escalation-plan-on-july-27/","brunei","no measures"
"Bhutan","BTN",20201012,"C7: Restrictions on internal movement",2,"Regional","https://web.archive.org/web/20201012213728/https://www.gov.bt/covid19/08-10-20-revised-travel-advisory-moh/","bhutan","restrictions in place"
"Botswana","BWA",20201008,"C7: Restrictions on internal movement",2,"National","Botswana is divided into 9 geographical zones and permits are only needed to travel between zones. Residents may travel within their zone without permits.  Permits for inter-zone travel may be acquired online at gov.bw and are restricted to essential travel. COVID-19 tests may be required at any time for those transiting zones.  http://web.archive.org/web/20201009015725/https://bw.usembassy.gov/covid-19-information/   ","botswana","restrictions in place"
"Central African Rep.","CAF",20200915,"C7: Restrictions on internal movement",1,"National","Staying in your home or accommodation is encouraged. Source: http://web.archive.org/web/20200924081638/https://www.gov.uk/foreign-travel-advice/central-african-republic/coronavirus","central african rep.","recommend not to travel between regions"
"Canada","CAN",20200925,"C7: Restrictions on internal movement",2,"Regional","A number of provinces require self-isolation on arrival for 14 days for inter-provincial travel, effectively restricting internal movment. For example, the Atlantic provinces form a ""protective bubble"" but require isolation for anyone outside this bubble. Similar provisions are in place in the Northwestern Territories and Nunavut. https://web.archive.org/web/20200923140549/https://gov.nu.ca/health/information/travel-and-isolation https://web.archive.org/web/20201004132600/https://novascotia.ca/coronavirus/travel/","canada","restrictions in place"
"Switzerland","CHE",20200606,"C7: Restrictions on internal movement",0,NA,"As of 6 June 2020, there are no more restrictions on workplaces.    The only remaining restrictions are on gatherings in public of more than 30 people, events or demonstrations with more than 300 people and sports competition involving close physical contact.  Keeping a distance, wearing a mask and observing hygiene rules still applies    (see http://web.archive.org/web/20200611185821/https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html)","switzerland","no measures"
"Chile","CHL",20200908,"C7: Restrictions on internal movement",2,"Regional","Numerous comunas in 24 hour mandatory lockdown; ""For comunas under quarantine, people will be allowed to obtain a permit to leave their residences only under certain circumstances.""; ""In places where sanitary cordons are in place, travelers may be subject to temperature screenings. Travel to or from comunas in quarantine requires a permiso obtained from the Chilean police (see “Quarantine Information” below)""       http://web.archive.org/save/https://cl.usembassy.gov/covid-19-information/","chile","restrictions in place"
"China","CHN",20201010,"C7: Restrictions on internal movement",2,"Regional","From 0:00 on 10 October, any Chinese citizen can leave Ruili without the need to present a valid negative nucleic acid test result. However, foreigners and people entering the Chinese border through Ruili cannot leave except for very limited reason. Ruili still has exit checking points in place.     http://web.archive.org/web/20201010122507/http://www.chinanews.com/sh/2020/10-09/9308805.shtml","china","restrictions in place"
"CÃ´te d'Ivoire","CIV",20200910,"C7: Restrictions on internal movement",0,NA,"No new update. Source: http://web.archive.org/web/20200920142518/https://ci.usembassy.gov/covid-19-information/","cã´te d'ivoire","no measures"
"Cameroon","CMR",20200727,"C7: Restrictions on internal movement",1,"National","The advice remains that travel within the country should be limited to essential travel only. http://archive.today/2020.08.05-014856/https://www.gov.uk/foreign-travel-advice/cameroon/coronavirus","cameroon","recommend not to travel between regions"
"Dem. Rep. Congo","COD",20200924,"C7: Restrictions on internal movement",2,"Regional","No change in policy. Domestic travelers are also required to present a negative COVID-19 test for interprovincial travel.  http://web.archive.org/web/20200928161819/https://cd.usembassy.gov/covid-19-information/","dem. rep. congo","restrictions in place"
