"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Aruba","ABW",20200924,"C8: International travel controls",1,NA,"High-risk US states list updated for required negative Molecular COVID-19 test for entry to Aruba.    Three possible test procedure options are available depending on your place of residence:  Option 1: Take a test prior to arrival   Option 2: Only take a test upon arrival in Aruba (no other test results uploaded prior to travel)  Option 3: Dual testing process - Testing prior to travel and a mandatory Molecular PCR test at the airport in Aruba    IMPORTANT:  Option 2 is not available to residents of the following high-risk US States (updated September 24, 2020):  Arizona, Arkansas, Florida, Iowa, Kansas, Kentucky, Louisiana, Maryland, Minnesota, Missouri, Montana, Nebraska, North Carolina, North Dakota, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Utah, Virginia, Wisconsin, and Wyoming.    As from September 24th, 2020 the following were REMOVED from the Aruba government’s list of US States considered high-risk states:  Alabama, California, Colorado, Georgia, Idaho, Mississippi, Nevada, Ohio, Oregon, Texas    Also, as from September 24th, the following were ADDED to the Aruba government’s list of US States considered high-risk states:  Kentucky, Maryland, Minnesota, Missouri, Montana, Nebraska, North Dakota, Pennsylvania and Virginia    https://web.archive.org/web/20201009230933/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/  https://web.archive.org/web/20201010012815/https://www.visitaruba.com/traveling-to-aruba/entry-requirements-and-visas/aruba-travel-restrictions-covid-19/","aruba","screening arrivals"
"Afghanistan","AFG",20200818,"C8: International travel controls",1,NA,"""International flights resumed in June but continue to be unreliable, with many last minute cancellations. Both Turkish and  Emirates airlines requiring for passengers to have a negative C-19 test. Local flights also resumed in mid-July. The UNHAS  airbridge connecting Kabul and Doha continues to operate on Sundays, Tuesdays and Thursdays, only accommodating  transiting passengers. UNHAS has been closely monitoring demand on the Doha Airbridge and noted a significant reduction  in passenger loads with the resumption of commercial flights. However, given the lack of clarity on continuity and  predictability of services from commercial airlines, UNHAS remains committed to support the Doha Airbridge until 30  September 2020 as per the initial plan"". See OCHA report, archived: http://web.archive.org/web/20200825195200/https://reliefweb.int/sites/reliefweb.int/files/resources/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","screening arrivals"
"Angola","AGO",20200929,"C8: International travel controls",2,NA,"Anyone arriving in Angola must present proof of a negative RT-PCR COVID-19 test; passengers may take the test up to 72 hours prior to travel and may be given credit for those days toward the mandatory 14-day quarantine. See: https://ao.usembassy.gov/covid-19-information/ [accessed 8th October, 2020, web archive unavailable]? ","angola","quarantine arrivals from some/ all regions"
"Albania","ALB",20200923,"C8: International travel controls",1,NA,"No changes.","albania","screening arrivals"
"Andorra","AND",20200729,"C8: International travel controls",2,NA,"'The Council of Ministers has approved, at the proposal of the head of Health, Joan Martínez Benazet, to lift the restrictive measures that until now only allowed those from abroad (with the exception of the states of the European Union, Iceland, Liechtenstein, Monaco , Norway, the United Kingdom, San Marino, Switzerland and the Vatican) travel to the Principality for reasons of force majeure. Thus, they are now allowed to enter as long as they maintain a home confinement for fifteen calendar days.' https://web.archive.org/web/20200817194122/https://www.govern.ad/comunicats/item/11756-els-procedents-de-l-estranger-excepte-els-de-la-ue-i-paisos-assimilats-poden-visitar-a-andorra-pero-amb-confinament-domiciliari","andorra","quarantine arrivals from some/ all regions"
"United Arab Emirates","ARE",20201003,"C8: International travel controls",2,NA,"""Stringent entry restrictions remain in place upon arrival at all airports in the UAE which may include, but are not limited to, a Health Authority COVID-19 PCR test on arrival, mandatory quarantine period, usually via self-isolation at a private address if suitable or a hotel, for at least 14 days, and follow up testing before you are able to complete quarantine. Once any quarantine period is complete, you must continue to comply with all measures put in place by the UAE authorities to prevent the spread of coronavirus.    Travelers arriving into Abu Dhabi are required to wear a GPS bracelet for 14 days. Guidance can change regularly. For additional information about quarantine and travel restrictions for arrivals in Abu Dhabi, please visit Etihad’s website, official Abu Dhabi government sources, and official media sources.""    https://web.archive.org/web/20201010010211/https://ae.usembassy.gov/u-s-citizen-services/covid-19-information/","united arab emirates","quarantine arrivals from some/ all regions"
"Argentina","ARG",20201001,"C8: International travel controls",4,NA,"Per the latest Argentine government policy, any foreigner who is not a resident in Argentina will not be permitted to enter Argentina.     Link: https://web.archive.org/web/20201009214732/https://ar.usembassy.gov/covid-19/  ","argentina","ban on all regions/total border closure"
"Australia","AUS",20200813,"C8: International travel controls",4,NA,"Borders remain closed to all except citizens and permanent residents.     Link: https://web.archive.org/web/20200827144914/https://www.gov.uk/foreign-travel-advice/australia","australia","ban on all regions/total border closure"
"Austria","AUT",20200929,"C8: International travel controls",3,NA,"Borders to European countries have opened up, and 15 other nations. But several countries are still banned.  https://web.archive.org/web/20201008004721/https://www.austria.info/en/service-and-facts/coronavirus-information","austria","ban arrivals from some regions"
"Azerbaijan","AZE",20200929,"C8: International travel controls",4,NA,"Azerbaijan has acknowledged that community spread of the COVID-19 virus is occurring and that COVID-19 infections are present in all regions of Azerbaijan. All land and air traffic in and out of Azerbaijan will remain closed at least through November 2, 2020.  http://web.archive.org/web/20201007233526/https://az.usembassy.gov/covid-19-information-for-azerbaijan/","azerbaijan","ban on all regions/total border closure"
