"","CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value"
"1","Afghanistan","AFG",20200818,"C8: International travel controls",1,NA,"""International flights resumed in June but continue to be unreliable, with many last minute cancellations. Both Turkish and  Emirates airlines requiring for passengers to have a negative C-19 test. Local flights also resumed in mid-July. The UNHAS  airbridge connecting Kabul and Doha continues to operate on Sundays, Tuesdays and Thursdays, only accommodating  transiting passengers. UNHAS has been closely monitoring demand on the Doha Airbridge and noted a significant reduction  in passenger loads with the resumption of commercial flights. However, given the lack of clarity on continuity and  predictability of services from commercial airlines, UNHAS remains committed to support the Doha Airbridge until 30  September 2020 as per the initial plan"". See OCHA report, archived: http://web.archive.org/web/20200825195200/https://reliefweb.int/sites/reliefweb.int/files/resources/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","screening arrivals","AFG",20200826,"C7: Restrictions on internal movement",0,NA,"Lockdown measures are no longer enforced, provincial borders have opened again https://web.archive.org/web/20200904195409/https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","no measures","AFG",20200826,"C6: Stay at home requirements",0,NA,"Lockdown measures are no longer enforced, and people can go about their daily lives again https://web.archive.org/web/20200904195409/https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","no measures","AFG",20200826,"C4: Restrictions on gatherings",0,NA,"""Pent-up demand means reopened wedding halls are now fully booked every night. That means gatherings that can pack with thousands of people into a hall, presenting a significant risk of transmission of the virus.""  https://web.archive.org/web/20200904185814/https://www.ctvnews.ca/health/coronavirus/afghans-return-to-games-parks-weddings-despite-virus-fears-1.5090624","afghanistan","no restrictions","AFG",20200826,"C5: Close public transport",0,NA,"Lockdown measures are no longer enforced, hence public transport can also resume https://web.archive.org/web/20200904195409/https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","no measures"
"2","Albania","ALB",20200923,"C8: International travel controls",1,NA,"No changes.","albania","screening arrivals","ALB",20200807,"C7: Restrictions on internal movement",0,NA,"""There are currently no restrictions on movement within Albania'     http://web.archive.org/web/20200817080250/https://www.gov.uk/foreign-travel-advice/albania/staying-during-coronavirus","albania","no measures","ALB",20200923,"C6: Stay at home requirements",0,NA,"No change.","albania","no measures","ALB",20200923,"C4: Restrictions on gatherings",4,"National","No change.","albania","restrictions on gatherings of <= 10 people","ALB",20200923,"C5: Close public transport",0,NA,"No change.","albania","no measures"
"3","Algeria","DZA",20200818,"C8: International travel controls",4,NA,"No change. https://web.archive.org/web/20200826015744/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","ban on all regions/total border closure","DZA",20200910,"C7: Restrictions on internal movement",2,"Regional","Conflicting reports regarding inter-provincial travel in curfew areas. US Embassy in Algeria maintains that domestic travel between provinces where curfews are in place is banned, however, the UK Foreign Office is advising that travel between provinces is 'now permitted' (unable to find exact date that this change occurred).  https://web.archive.org/web/20200910153722/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus  ---  https://web.archive.org/web/20200910162436/https://dz.usembassy.gov/covid-19-information/","algeria","restrictions in place","DZA",20200922,"C6: Stay at home requirements",2,"Regional","According to the US embassy, regional restrictions remain in place with curfews: ""A curfew is in effect in 29 of Algeria’s 48 provinces, including in Algiers, where the curfew is from 11pm to 6am. The other provinces covered by the curfew are:  Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued""  https://web.archive.org/web/20201001183752/https://dz.usembassy.gov/covid-19-information/  ","algeria","require not leaving house except for essentials","DZA",20200922,"C4: Restrictions on gatherings",4,"National","Restrictions still in place. According to the UK Foreign Office: ""There is a nationwide ban on family gatherings of any kind, including marriages.""   https://web.archive.org/web/20201001183658/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","restrictions on gatherings of <= 10 people","DZA",20200808,"C5: Close public transport",2,"Regional","""The governor of Algiers prohibited all public transportation on Fridays and Saturdays until further notice.  Public transportation (and depending on the province, private transportation) may be suspended in the other 28 provinces affected by a curfew on Fridays and Saturdays.""    Source: http://web.archive.org/web/20200816105319/https://dz.usembassy.gov/covid-19-information/","algeria","require closing"
"4","Andorra","AND",20200729,"C8: International travel controls",2,NA,"'The Council of Ministers has approved, at the proposal of the head of Health, Joan Martínez Benazet, to lift the restrictive measures that until now only allowed those from abroad (with the exception of the states of the European Union, Iceland, Liechtenstein, Monaco , Norway, the United Kingdom, San Marino, Switzerland and the Vatican) travel to the Principality for reasons of force majeure. Thus, they are now allowed to enter as long as they maintain a home confinement for fifteen calendar days.' https://web.archive.org/web/20200817194122/https://www.govern.ad/comunicats/item/11756-els-procedents-de-l-estranger-excepte-els-de-la-ue-i-paisos-assimilats-poden-visitar-a-andorra-pero-amb-confinament-domiciliari","andorra","quarantine arrivals from some/ all regions","AND",20200707,"C7: Restrictions on internal movement",0,NA,"No major changes noted since 07/07/2020","andorra","no measures","AND",20200707,"C6: Stay at home requirements",1,"National","Restrictions on elderly and nursing homes: ""the departures of residents are restricted to once a week, which must be done with a single family member and with a maximum duration of two hours. During these outings it will not be possible to have a meal outside or to go to spaces with a high concurrence of people. Visits by relatives to users of assisted living facilities are permitted in accordance with exceptional measures.""    https://web.archive.org/web/20200716090024/https://www.govern.ad/comunicats/item/11716-el-govern-decreta-l-us-obligatori-de-mascaretes-com-a-mesura-preventiva-davant-la-covid-19","andorra","recommend not leaving house","AND",20200921,"C4: Restrictions on gatherings",4,"National","""On September 18, ""The Minister of Health, Joan Martínez Benazet, has presented the Decree approved today by the Government in relation to the health emergency situation due to the SARS-CoV-2 coronavirus and which will enter into force on Monday 21 September. Martínez Benazet has advanced that the new text will limit family groups and also social activities to a maximum of 10 people, given the importance of reducing social interaction and not leaving cohabiting nuclei. In leisure, cultural and sports activities, the limit is maintained at 50 people and, when this figure is exceeded, it will continue with the activation of specific protocols.""    Source: http://web.archive.org/web/20200927103231/https://www.govern.ad/comunicats/item/11886-les-autoritats-sanitaries-demanen-reduir-la-interaccio-social (official press release)","andorra","restrictions on gatherings of <= 10 people","AND",20200707,"C5: Close public transport",1,"National","""Decree measures are also established to protect public transport users and staff. Thus, it is stipulated that buses must operate in such a way that the capacity of 50% is respected and it is necessary for public transport users to wear a mask. At the same time it is described that extreme hygiene measures must be taken in all vehicles intended for public passenger transport, with special attention to the surfaces on which passengers and workers come into contact.""  https://web.archive.org/web/20200716090024/https://www.govern.ad/comunicats/item/11716-el-govern-decreta-l-us-obligatori-de-mascaretes-com-a-mesura-preventiva-davant-la-covid-19","andorra","recommend closing/ significantly reduce volume"
"5","Angola","AGO",20200929,"C8: International travel controls",2,NA,"Anyone arriving in Angola must present proof of a negative RT-PCR COVID-19 test; passengers may take the test up to 72 hours prior to travel and may be given credit for those days toward the mandatory 14-day quarantine. See: https://ao.usembassy.gov/covid-19-information/ [accessed 8th October, 2020, web archive unavailable]? ","angola","quarantine arrivals from some/ all regions","AGO",20200929,"C7: Restrictions on internal movement",2,"Regional","Angolan Authorities extended the sanitary restrictions in Luanda until October 8.  Also, the Angolan government requires proof of a negative RT-PCR COVID-19 test for all travel in and out of Luanda Province.  Travellers who cannot show proof of a negative test result are subject to a mandatory 14-day quarantine in a government-run facility. See: https://ao.usembassy.gov/covid-19-information/ [accessed 8th October, 2020, web archive unavailable]? ","angola","restrictions in place","AGO",20200916,"C6: Stay at home requirements",1,"National","According to the US embassy website, there is no curfew in place. Also domestic flights between Luanda and the remainder of the country’s provinces resumed on September 14, 2020.    http://web.archive.org/web/20200927024309/https://ao.usembassy.gov/covid-19-information/   ","angola","recommend not leaving house","AGO",20200916,"C4: Restrictions on gatherings",4,"National","According to the US embassy website, groups exercising together are limited to no more than five people.  http://web.archive.org/web/20200927024309/https://ao.usembassy.gov/covid-19-information/     ","angola","restrictions on gatherings of <= 10 people","AGO",20200916,"C5: Close public transport",1,"National","Public transportation is operating at 50 percent capacity until October 1, 2020 and 75 percent from that day onward.  http://web.archive.org/web/20200927024309/https://ao.usembassy.gov/covid-19-information/ ","angola","recommend closing/ significantly reduce volume"
"6","Anguilla","AIA",20200731,"C8: International travel controls",2,NA,"All arrivals must apply for pre-travel clearance and have a negative PCT test result before travelling. On arrival they are required to quarantine for at least 10 days.    https://web.archive.org/web/20200927175056/https://beatcovid19.ai/wp-content/uploads/2020/08/Public-Health-QuarantineCOVID-19-Regulations-2020.pdf","anguilla","quarantine arrivals from some/ all regions","AIA",20200901,"C7: Restrictions on internal movement",0,NA,"No evidence of a change in policy on government websites (no new cases have been identified).","anguilla","no measures","AIA",20200901,"C6: Stay at home requirements",0,NA,"No evidence of a change in policy on government websites (no new cases have been identified).","anguilla","no measures","AIA",20200901,"C4: Restrictions on gatherings",0,NA,"No evidence of a change in policy on government websites (no new cases have been identified).","anguilla","no restrictions","AIA",20200901,"C5: Close public transport",0,NA,"No evidence of a change in policy on government websites (no new cases have been identified).","anguilla","no measures"
"7","Argentina","ARG",20201001,"C8: International travel controls",4,NA,"Per the latest Argentine government policy, any foreigner who is not a resident in Argentina will not be permitted to enter Argentina.     Link: https://web.archive.org/web/20201009214732/https://ar.usembassy.gov/covid-19/  ","argentina","ban on all regions/total border closure","ARG",20201001,"C7: Restrictions on internal movement",2,"National","Travel between cities, departments, and provinces is restricted.    The government of Argentina has implemented additional travel restrictions to limit the spread of COVID-19. Only travelers with confirmed international flight reservations may travel from the provinces to the Buenos Aires metro area 24 hours in advance of the flight.    Link: https://web.archive.org/web/20201009214732/https://ar.usembassy.gov/covid-19/","argentina","restrictions in place","ARG",20201001,"C6: Stay at home requirements",2,"Regional","The Government of Argentina has announced the extension of quarantine and social distancing measures. The following areas will remain in quarantine (“aislamiento social”) through at least October 11: the Buenos Aires Metropolitan Area; in addition to those places forming part of the Buenos Aires Metropolitan Area, the departments of General Pueyrredón, Bahía Blanca, and Tandil in Buenos Aires Province; the Manuel Belgrano, Ledesma, El Carmen, Palpalá, Susques, Yavi, Rinconada, and San Pedro departments of Jujuy; the Capital department of La Rioja; the Bariloche and Dina Huapi metropolitan areas and the General Roca department of Río Negro; the General José de San Martín, Cerrillos, Rosario de Lerma, General Güemes, La Caldera, Orán, and Capital departments of Salta; the Río Gallegos metropolitan area in Santa Cruz; the Capital and Banda departments of Santiago del Estero; and the Río Grande department of Tierra del Fuego. Per the latest order, most of the rest of the country remains in mandatory social distancing. Even in those provinces under mandatory social distancing, strict limits on travel, gatherings, and other activities apply. Media reports indicate that this period may be extended with some modifications; this has yet to be confirmed.    Link: https://web.archive.org/web/20201009214732/https://ar.usembassy.gov/covid-19/","argentina","require not leaving house except for essentials","ARG",20200910,"C4: Restrictions on gatherings",4,"National","The new measures maintain the restriction of up to 10 people gathered in outdoor public spaces.    http://web.archive.org/web/20200921204618/https://www.infobae.com/politica/2020/09/20/los-detalles-del-nuevo-decreto-del-gobierno-que-extiende-la-cuarentena-hasta-el-11-de-octubre/","argentina","restrictions on gatherings of <= 10 people","ARG",20201001,"C5: Close public transport",2,"Regional","Is public transportation operating? Yes.  - Limited public transportation within cities with strict limitations is operating. Intercity transport is mostly suspended.    - Transport remains extremely restricted.  The Ministry of Transportation halted all Argentine intercity domestic buses, trains, and flights in March, and most of these services remain suspended due to the ongoing quarantine order.  - In the Buenos Aires metropolitan area, only essential workers with a circulation permit may board public transportation. These regulations are likely to remain in place for the duration of the quarantine order. ","argentina","require closing"
"8","Aruba","ABW",20200924,"C8: International travel controls",1,NA,"High-risk US states list updated for required negative Molecular COVID-19 test for entry to Aruba.    Three possible test procedure options are available depending on your place of residence:  Option 1: Take a test prior to arrival   Option 2: Only take a test upon arrival in Aruba (no other test results uploaded prior to travel)  Option 3: Dual testing process - Testing prior to travel and a mandatory Molecular PCR test at the airport in Aruba    IMPORTANT:  Option 2 is not available to residents of the following high-risk US States (updated September 24, 2020):  Arizona, Arkansas, Florida, Iowa, Kansas, Kentucky, Louisiana, Maryland, Minnesota, Missouri, Montana, Nebraska, North Carolina, North Dakota, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Utah, Virginia, Wisconsin, and Wyoming.    As from September 24th, 2020 the following were REMOVED from the Aruba government’s list of US States considered high-risk states:  Alabama, California, Colorado, Georgia, Idaho, Mississippi, Nevada, Ohio, Oregon, Texas    Also, as from September 24th, the following were ADDED to the Aruba government’s list of US States considered high-risk states:  Kentucky, Maryland, Minnesota, Missouri, Montana, Nebraska, North Dakota, Pennsylvania and Virginia    https://web.archive.org/web/20201009230933/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/  https://web.archive.org/web/20201010012815/https://www.visitaruba.com/traveling-to-aruba/entry-requirements-and-visas/aruba-travel-restrictions-covid-19/","aruba","screening arrivals","ABW",20200907,"C7: Restrictions on internal movement",0,NA,"No data found","aruba","no measures","ABW",20201007,"C6: Stay at home requirements",2,"National","As announced October 5, 2020, starting Wednesday October 7, the curfew time will be adjusted from 10pm-5am to 12am-5am.   Additionally, all establishments - except those at hotel properties - are required to close by 11:00pm at the latest (modified from 9:00pm).   https://web.archive.org/web/20201004011427/https://www.visitaruba.com/news/general/corona-virus-and-travel-to-aruba/  https://web.archive.org/web/20201009231439/https://www.visitaruba.com/traveling-to-aruba/entry-requirements-and-visas/aruba-travel-restrictions-covid-19/","aruba","require not leaving house except for essentials","ABW",20200918,"C4: Restrictions on gatherings",4,"Regional","Starting September 18, 2020, family parties at home are not permitted.  https://web.archive.org/web/20201010005321/https://www.government.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html","aruba","restrictions on gatherings of <= 10 people","ABW",20200907,"C5: Close public transport",0,NA,"Masks must be worn on public transportation    https://web.archive.org/web/20200916144011/https://www.arubacovid19.org/ddg","aruba","no measures"
"9","Australia","AUS",20200813,"C8: International travel controls",4,NA,"Borders remain closed to all except citizens and permanent residents.     Link: https://web.archive.org/web/20200827144914/https://www.gov.uk/foreign-travel-advice/australia","australia","ban on all regions/total border closure","AUS",20200828,"C7: Restrictions on internal movement",2,"Regional","Some states have closed borders to states with active cases of coronavirus. Within Victoria, people in metropolitan Melbourne are not allowed to travel further than 5km from their home. ","australia","restrictions in place","AUS",20200828,"C6: Stay at home requirements",2,"Regional","Victoria remains in Stage 4 lockdown. ","australia","require not leaving house except for essentials","AUS",20200928,"C4: Restrictions on gatherings",4,"Regional","Victoria - Proposed changes for Monday include a staged return to school for some students and an allowance for outdoor gatherings of five people from two households.  https://web.archive.org/web/20200928121411/https://www.theguardian.com/world/2020/sep/26/victoria-records-one-death-and-12-new-cases-as-covid-19-numbers-continue-to-drop","australia","restrictions on gatherings of <= 10 people","AUS",20200828,"C5: Close public transport",1,"Regional","Victoria remains in Stage 4 lockdown with reduced public transport services and recommendation to only use public transport for essential reasons. ","australia","recommend closing/ significantly reduce volume"
"10","Austria","AUT",20200929,"C8: International travel controls",3,NA,"Borders to European countries have opened up, and 15 other nations. But several countries are still banned.  https://web.archive.org/web/20201008004721/https://www.austria.info/en/service-and-facts/coronavirus-information","austria","ban arrivals from some regions","AUT",20200917,"C7: Restrictions on internal movement",0,NA,"No policy change","austria","no measures","AUT",20200929,"C6: Stay at home requirements",1,"National","""General curfew  There is currently a general curfew at 1.00 a.m. This also applies to ""closed events"". There may also be additional local regulations (see regional (additional) measures ).""    https://web.archive.org/web/20201008005332/https://corona-ampel.gv.at/aktuelle-massnahmen/bundesweite-massnahmen/","austria","recommend not leaving house","AUT",20200929,"C4: Restrictions on gatherings",3,"National","""Events  Events include, in particular, planned get-togethers and activities for entertainment, amusement, physical and mental training and edification. In any case, this includes cultural events, sporting events, weddings, film screenings, exhibitions, vernissages, congresses, training courses and further education.    For events without assigned and marked seats (e.g. standing events), the maximum number of people in closed rooms is currently 10 people. Funerals are excluded from this person restriction. There is a maximum of 500 people for funerals.  For events without assigned and marked seats (such as standing events) outdoors, a maximum number of 100 people currently applies.  For professional events with assigned and marked seats, the maximum number of people in closed rooms is 1500.  For professional events with assigned and marked seats, the maximum number of people in the open air is 3000.  The following applies:    The 1 meter minimum distance must be observed (people who live in the same household are exempt from this) and an MNS must also be worn in closed rooms (MNS also applies outdoors at markets and trade fairs)  The catering rules apply to catering establishments  At events with assigned and marked seats, the mouth and nose protection is not required when sitting if the 1 meter distance is maintained or another suitable protective device is available for spatial separation that guarantees the same level of protection  Outdoor events with over 100 people and indoor events with over 50 people must appoint a COVID-19 officer and develop and implement a corresponding COVID-19 prevention concept  The event restrictions also apply to indoor social activities in groups  The people necessary for the implementation of the event are excluded from the maximum number of people (e.g. performers, orchestra)  In general, the limits do not apply to the professional area (including professionally practiced sports, music, etc.)""  https://web.archive.org/web/20201008005332/https://corona-ampel.gv.at/aktuelle-massnahmen/bundesweite-massnahmen/","austria","restrictions on gatherings between 11-100 people","AUT",20200917,"C5: Close public transport",0,NA,"No policy change","austria","no measures"
