"CountryName","public_transport-CountryCode","public_transport-Date","Public Transport","public_transport-PolicyValue","public_transport-Flag","public_transport-Notes","public_transport-region","public_transport-value"
"Aruba","ABW",20201022,"C5: Close public transport",0,NA,"No reported measures of restrictions on public transport.    https://web.archive.org/web/20201101003154/https://www.government.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html#:~:text=Starting%2520September%252018%252C%25202020%252C%2520the,at%2520home%2520are%2520not%2520permitted.","aruba","no measures"
"Afghanistan","AFG",20201109,"C5: Close public transport",0,NA,"No change in previous policy, no restrictions apply.    Official webpage of the Danish embassy in Afghanistan states no specific restrictions due to Covid    https://web.archive.org/web/20201120094201/https://afghanistan.um.dk/en/travel%20and%20residence/nycoronavirus-covid19/","afghanistan","no measures"
"Angola","AGO",20201123,"C5: Close public transport",1,"National","""Urban and interurban public transport from passengers, both public and private, operate with up to 75% of its capacity.""    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)  ","angola","recommend closing/ significantly reduce volume"
"Albania","ALB",20201127,"C5: Close public transport",0,NA,"No policy change.","albania","no measures"
"Andorra","AND",20201125,"C5: Close public transport",1,"National","No policy change","andorra","recommend closing/ significantly reduce volume"
"United Arab Emirates","ARE",20201125,"C5: Close public transport",0,NA,"UAE reopens malls, public transport in Dubai, including metro, to open soon  https://web.archive.org/web/20201207152447if_/https://www.livemint.com/news/world/uae-reopens-malls-public-transport-in-dubai-including-metro-to-open-soon-11587706078099.html","united arab emirates","no measures"
"Argentina","ARG",20201201,"C5: Close public transport",2,"Regional","Is public transportation operating? Yes.  Limited public transportation within cities with strict limitations is operating.   In the Buenos Aires metropolitan area, only essential workers with a circulation permit may board public transportation. These regulations are likely to remain in place for the duration of the quarantine order. Travelers should expect further travel disruptions with little notice.  Long-haul intercity transportation options are restricted to essential workers as outlined in the national quarantine order as well as those seeking medical treatment.  The Government of Argentina has also indicated that U.S. citizens may use these transportation options to connect with confirmed international departure opportunities from Buenos Aires.  All passengers are required to have a valid Certificado Único de Circulación to travel and should consult transportation provider and local officials regarding travel eligibility and additional requirements.  https://web.archive.org/web/*/https://ar.usembassy.gov/covid-19/","argentina","require closing"
"Australia","AUS",20201028,"C5: Close public transport",1,"Regional","Allowed with restrictions. Public transport facilities are open and people can travel <25km  Entire of Victoria (including Melbourne metropolitan area) is now in stage 3 (reduced restrictions) from 28th October 2020. The next worst region of New South Wales has further relaxed restrictions, so coding based on the stage 3 restrictions as in Victoria   http://web.archive.org/web/20201028213135/https://www.dhhs.vic.gov.au/victorias-restriction-levels-covid-19  https://www.nytimes.com/2020/10/28/world/australia/melbourne-lockdown-ends.html  https://web.archive.org/web/20201027135418/https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules ","australia","recommend closing/ significantly reduce volume"
"Austria","AUT",20201124,"C5: Close public transport",1,"National","Public transport is fully functioning, but face mask and min. distance is mandatory. Taxis (and similar services) only 2 people per row. Funiculars etc. are closed.  https://web.archive.org/web/20201130011213/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html","austria","recommend closing/ significantly reduce volume"
"Azerbaijan","AZE",20201129,"C5: Close public transport",2,"Regional","No changes found since the last announcements","azerbaijan","require closing"
"Burundi","BDI",20201202,"C5: Close public transport",0,NA,"No policy update detected ","burundi","no measures"
"Belgium","BEL",20201201,"C5: Close public transport",0,NA,"No policy change","belgium","no measures"
"Benin","BEN",20201116,"C5: Close public transport",0,NA,"No policy change","benin","no measures"
"Burkina Faso","BFA",20201117,"C5: Close public transport",0,NA,"No change","burkina faso","no measures"
"Bangladesh","BGD",20201110,"C5: Close public transport",2,"Regional","Targeted: According to the US Embassy Website in Bangladesh as of Nov 11, 2020 https://web.archive.org/web/20201111005505/https://bd.usembassy.gov/covid-19-information/:   ""Currently, only certain sectors located within the Wari jurisdiction of the Dhaka South City Corporation are designated as ‘lockdown/containment’ zones. In these areas, the City Corporations will facilitate emergency response services.    It is important to note GoB officials have confirmed that the list of Red zones does not mean the areas are or will be under lockdown restrictions.    Restrictions on Designated Lockdown/Containment Areas:  - **Transportation will be suspended. Rickshaws, vans, taxis, auto-rickshaws, and private vehicles are not permitted inside the demarcated areas during the 21-day lockdown.**  - No public gatherings of any kind are allowed.  - Pedestrian and vehicular movements controlled through secured entry/exit points.  - Residents should remain within their homes except for emergencies or for essential needs.  - No indoor dining services allowed. Delivery food service options are available.  - Grocery stores and pharmacies will remain open.  - Residents will be allowed to shop in bazaars only when necessary.  - Residents must work from home.  - COVID-19 tests will be available to residents, and home isolation or institutional isolation will be arranged for patients who test positive.  - Shopping malls, gyms, sports complexes and recreation centres will be closed.  - Only people who are ill may go to hospitals.  - Mosques and other places of worship are closed to residents. Only official staff are permitted to enter.  - ATM services will remain open. Banks will operate in a limited capacity.  - Factories in towns will remain closed, but factories and agricultural production-related factories in rural areas can remain operational.  - Agricultural work must be performed under strict health and hygiene regulations.""    This information has not changed as of Nov 18, 2020: https://web.archive.org/web/20201122221519/https://bd.usembassy.gov/covid-19-information/      IN GENERAL: COVID19-related restrictions seem be removed, although with strict adherence to mask wearing.  Dhaka Tribune: ""On October 31, the Cabinet Division sent notices to all public offices of the country, asking them to restrict entry and to refuse service to anyone without a mask. The notice further said masks have been made compulsory for all offices, courts, shopping malls, bazaars, state or government buildings and **social events**.""  source: https://web.archive.org/web/20201122215536/https://www.dhakatribune.com/health/coronavirus/2020/11/02/no-restriction-on-public-movement-to-curb-second-wave-of-covid-19    Nov 12, reuters.com: ""“The decision has been taken considering the second wave... We can’t play with the lives of our children,” said a senior official of the education ministry, who declined to be named. **The government however, has lifted most other restrictions**""  source: https://web.archive.org/web/20201122212335if_/https://www.reuters.com/article/us-health-coronavirus-bangladesh-educati/bangladesh-extends-school-shutdown-over-second-covid-19-wave-idUSKBN27S26A  ","bangladesh","require closing"
