"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Aruba","ABW",20201124,"C4: Restrictions on gatherings",3,"National","Starting November 24, more than six persons are allowed to gather at home. Facemasks and a social distance of 1.5 meters are required. It is at the discretion of each family to decide how many people can be in proximity to each other and they have to make sure the rules are abided at all times. As of November 24, restaurants are allowed to have a maximum of 14 diners per table when dining inside and a maximum of 20 diners at each table when dining outdoors. However, diners must follow the rules. Everybody should be seated, while standing at the bar or dancing remains prohibited. https://web.archive.org/web/20201201023825/https:/www.government.aw/news/news_47033/item/relaxation-of-measures-starting-november-24_55282.html","aruba","restrictions on gatherings between 11-100 people"
"Afghanistan","AFG",20201109,"C4: Restrictions on gatherings",0,NA,"No change in previous policy, no restrictions apply.    Official webpage of the Danish embassy in Afghanistan states no specific restrictions due to Covid    https://web.archive.org/web/20201120094201/https://afghanistan.um.dk/en/travel%20and%20residence/nycoronavirus-covid19/","afghanistan","no restrictions"
"Angola","AGO",20201123,"C4: Restrictions on gatherings",2,"National","  The COVID-19 prevention and control measures in force, within the scope of the Presidential Decree on the Situation of Public Disasters, will be renewed for an additional period of 30 days, from Monday, November 23, until on the 22nd of December.  https://web.archive.org/web/20201202145145/https://governo.gov.ao/ao/noticias/governo-actualiza-medidas-de-controlo-da-covid-19/    Activities and meetings held indoors must not exceed 50% of the room capacity, nor the maximum number of 150 people.    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)   ","angola","restrictions on gatherings between 101-1000 people"
"Albania","ALB",20201204,"C4: Restrictions on gatherings",4,"National","No policy change","albania","restrictions on gatherings of <= 10 people"
"Andorra","AND",20201125,"C4: Restrictions on gatherings",4,"National","No policy change","andorra","restrictions on gatherings of <= 10 people"
"United Arab Emirates","ARE",20201125,"C4: Restrictions on gatherings",4,"National","Dr. Saif Al Dhaheri, the official spokesman for the National Emergency, Crisis and Disasters Management Authority, said: “With UAE National Day , Christmas Day and New Year’s Eve celebrations fast approaching, we stress the importance of adhering to precautionary and preventative health and safety measures during all activities to tackle COVID-19.”  The rules state that concerts can only be held only after receiving approval from authorities and only with the application of all precautionary measures.  Official rules for holding celebrations cover five basic areas; public health, physical distancing regulations and policies, digital technology, sterilization and cleaning.They stress that private parties and gatherings are not allowed, areas for the isolation of sick individuals must be provided and entry and exit routes at all facilities should be clearly marked using posters.  https://web.archive.org/web/20201207151748/https://english.alarabiya.net/en/News/middle-east/2020/11/18/Coronavirus-Private-parties-are-banned-on-UAE-National-Day-Christmas-and-New-Year-","united arab emirates","restrictions on gatherings of <= 10 people"
"Argentina","ARG",20201201,"C4: Restrictions on gatherings",4,"Regional","""In order to protect public health against the spread of the new coronavirus, it was established that all people who live, or are temporarily, in the jurisdictions where this regulation governs must remain in their usual homes, only being able to make minimal movements and Essential to stock up on cleaning supplies, medicines and food.""   https://web.archive.org/web/*/https://www.argentina.gob.ar/coronavirus/aislamiento","argentina","restrictions on gatherings of <= 10 people"
"Australia","AUS",20201122,"C4: Restrictions on gatherings",3,"National","From November 22nd, up to 50 people can gather outdoors from any number of households, excluding infants under 12 months. Additionally, up to 15 visitors, including dependants, per day can visit a household, either together or separately.","australia","restrictions on gatherings between 11-100 people"
"Austria","AUT",20201124,"C4: Restrictions on gatherings",4,"National","Lockdown 0h-24h (until Dec 6), requirement to stay at home except for special situations (e.g. in order to prevent risk for life or property; takign care of people in need/family related obligations; coverage of daily essential needs, work or education related reasons; sports and walks; appointments with public offices or court).  https://web.archive.org/web/20201130011213/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html","austria","restrictions on gatherings of <= 10 people"
"Azerbaijan","AZE",20201129,"C4: Restrictions on gatherings",4,"Regional","No changes found since the last announcements","azerbaijan","restrictions on gatherings of <= 10 people"
"Burundi","BDI",20201202,"C4: Restrictions on gatherings",0,NA,"No policy update detected ","burundi","no restrictions"
"Belgium","BEL",20201201,"C4: Restrictions on gatherings",4,"National","The social contact rules will also remain in place during the Christmas period. Single people will be able to receive both their contacts at the same time on Christmas Eve or Christmas Day to meet their psychosocial well-being.    For meetings outside, the rule of four remains in force.    https://archive.vn/sek2R#selection-589.0-593.56  ","belgium","restrictions on gatherings of <= 10 people"
"Benin","BEN",20201116,"C4: Restrictions on gatherings",3,"National","No policy change","benin","restrictions on gatherings between 11-100 people"
"Burkina Faso","BFA",20201117,"C4: Restrictions on gatherings",3,"National","No change","burkina faso","restrictions on gatherings between 11-100 people"
