"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Aruba","ABW",20201120,"C8: International travel controls",1,NA,"most countries are screen only, but there is a targeted border closed to Central and South American companies as of 11/20. https://web.archive.org/web/20201201024756/https:/www.visitaruba.com/traveling-to-aruba/entry-requirements-and-visas/aruba-travel-restrictions-covid-19/","aruba","screening arrivals"
"Afghanistan","AFG",20201109,"C8: International travel controls",1,NA,"According to the UK foreign office:    ""Everyone arriving in Afghanistan needs to have their temperature checked at the airport. If your temperature is high, the government will advise you to quarantine and will offer you medical attention at two hospitals in Kabul.""    https://web.archive.org/web/20201120094516/https://www.gov.uk/foreign-travel-advice/afghanistan/entry-requirements","afghanistan","screening arrivals"
"Angola","AGO",20201118,"C8: International travel controls",4,NA,"""The borders of the Republic of Angola remain closed, with entries into and exits from national territory subject to the health control defined by the competent authorities, in accordance with the International Health Regulations and with the National Health Regulations.""    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)","angola","ban on all regions/total border closure"
"Albania","ALB",20201204,"C8: International travel controls",1,NA,"No policy change","albania","screening arrivals"
"Andorra","AND",20201125,"C8: International travel controls",2,NA,"No policy change  https://archive.vn/ccdhT  ","andorra","quarantine arrivals from some/ all regions"
"United Arab Emirates","ARE",20201125,"C8: International travel controls",2,NA,"Residents returning to Dubai still need to get approval before travelling. Those returning to other parts of the UAE no longer need to get approval  Visit and tourist visas are currently being issued by the Dubai authorities only. Tourists and visitors cannot travel to Abu Dhabi by air  Travellers coming from the UK to Dubai have the option to either present a negative COVID-19 Polymerase Chain Reaction (PCR) test before departure, which is valid for 96 hours from the date of the test, or to take a PCR test on arrival at Dubai airport  Travellers to the rest of the UAE must have carried out a COVID-19 Polymerase Chain Reaction (PCR) test within 96 hours and received a negative result prior to their departure (there are exemptions for Emirati citizens). Depending on your port of entry, you may also need to undertake a second test on arrival, to wear a government-provided wristband and to complete a period of self-isolation or quarantine  https://web.archive.org/web/20201207153133/https://www.gov.uk/foreign-travel-advice/united-arab-emirates","united arab emirates","quarantine arrivals from some/ all regions"
"Argentina","ARG",20201201,"C8: International travel controls",3,NA,"""Per the latest Argentine government policy, most foreigners who are not a resident in Argentina, including U.S. citizens, will not be permitted to enter Argentina; the U.S. Embassy is not aware of an estimated end date for this travel ban.""    ""Argentine authorities are implementing a “tourism pilot program” for citizens and residents of bordering countries traveling to the Buenos Aires Metropolitan Area for tourism.  This program does not apply to the United States.  In addition to the sworn statement required of all passengers entering Argentina, persons entering under this pilot program must also present a negative COVID-19 PCR test within the 72 hours before travel and proof of medical insurance for COVID-19 that covers hospitalization or isolation for the duration of their stay in Argentina. Travelers under the program  must enter Argentina at Ministro Pistarini Ezeiza International Airport, San Fernando International Airport, or the Buquebus Ferry Terminal in Buenos Aires.  As Argentine authorities are still finalizing the details of this pilot program, persons who believe they meet its requirements should contact Argentine immigration directly.  The U.S. Department of State continues to advise against all travel to Argentina, and the Level 4 “Do Not Travel” advisory for Argentina remains in effect.""    https://web.archive.org/web/*/https://ar.usembassy.gov/covid-19/  ","argentina","ban arrivals from some regions"
"Australia","AUS",20201028,"C8: International travel controls",3,NA,"no change","australia","ban arrivals from some regions"
"Austria","AUT",20201124,"C8: International travel controls",3,NA,"Some travel bans exist, arrival in Austria from some other countries requires quarantine/a valid negative test.  https://web.archive.org/web/20201103185234/https://www.bmk.gv.at/service/corona/einreisebestimmungen.html","austria","ban arrivals from some regions"
"Azerbaijan","AZE",20201129,"C8: International travel controls",4,NA,"No changes found since the last announcements","azerbaijan","ban on all regions/total border closure"
"Burundi","BDI",20201202,"C8: International travel controls",2,NA," /web/20201207183054/https://www.gov.uk/foreign-travel-advice/burundi/entry-requirements  Ongoing 72 hour quarantine plus test with negative test taken 72 hours pre arrival in Burundi still required, no policy update ","burundi","quarantine arrivals from some/ all regions"
"Belgium","BEL",20201201,"C8: International travel controls",3,NA,"No policy change, but    For persons who have stayed abroad for more than 48 hours and will stay in Belgium for more than 48 hours, stricter checks will be carried out on:  - Completing the Passenger Locator Form  - Compliance with mandatory quarantine    https://archive.vn/sek2R#selection-607.0-629.36  ","belgium","ban arrivals from some regions"
"Benin","BEN",20201116,"C8: International travel controls",1,NA,"No policy change","benin","screening arrivals"
"Burkina Faso","BFA",20201117,"C8: International travel controls",1,NA,"No change","burkina faso","screening arrivals"
"Bangladesh","BGD",20201123,"C8: International travel controls",3,NA,"The British government has noted that the UK is amongst some of the few countries where commercial passenger flights have resumed. Source: https://web.archive.org/web/20201205202636/https://www.gov.uk/foreign-travel-advice/bangladesh/coronavirus","bangladesh","ban arrivals from some regions"
"Bulgaria","BGR",20201130,"C8: International travel controls",3,NA,"No policy change    As of 7 December, order RD-01-547 remains in effect.    A temporary ban on entry into the territory of the Republic of Bulgaria of all persons has been introduced, regardless of their nationality, at all border crossing points, by air, sea, rail and road.     The ban does not apply to Bulgarian citizens, citizens of Member States of the European Union (EU), the United Kingdom of Great Britain and Northern Ireland, Schengen countries (including the Republic of San Marino, the Principality of Andorra, the Principality of Monaco and the Vatican City State) and their family members (including those who are actually living with them); citizens of the Union of Australia, Canada, Georgia, Japan, New Zealand, the Republic of Rwanda, the Republic of Korea, the Kingdom of Thailand, the Republic of Tunisia, the Oriental Republic of Uruguay, the United Arab Emirates, Ukraine, the Republic of Northern Macedonia, the Republic of Serbia and the Republic of Albania Herzegovina, Montenegro, the Republic of Moldova, Israel, The State of Kuwait, the Republic of Belarus and the Republic of Turkey; the persons with the status of permanent, long-term or long-term residence on the territory of the Republic of Bulgaria and the members of their families; persons holding a Bulgarian long-stay visa type ""D"".    https://web.archive.org/web/20201207051648/https://coronavirus.bg/bg/merki/ogranichitelni-merki","bulgaria","ban arrivals from some regions"
"Bahrain","BHR",20201124,"C8: International travel controls",1,NA,"All incoming passengers must be tested at their own expense, and if the result is negative they no longer need to quarantine.   https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","screening arrivals"
"Bahamas","BHS",20201101,"C8: International travel controls",1,NA,"“Beginning November 1, everyone entering The Bahamas will no longer need to Vacation-in-Place”. However, “Everyone travelling to The Bahamas must obtain a negative COVID-19 RT-PCR (swab) test taken no more than 5 days prior to the date of arrival.” Also, there are “temperature screenings for passengers” upon arrival to The Bahamas. Source: http://web.archive.org/web/20201115235743/https://www.bahamas.com/tourism-reopening","bahamas","screening arrivals"
"Bosnia and Herzegovina","BIH",20201127,"C8: International travel controls",1,NA,"No policy change.","bosnia and herzegovina","screening arrivals"
"Belarus","BLR",20201105,"C8: International travel controls",4,NA,"Belarusian leader Alexander Lukashenko on Thursday ordered border guards to prevent the return to Belarus of its citizens who left and are currently abroad - with the exception of those in Russia - to prevent the spread of coronavirus.  https://web.archive.org/web/20201128122514/https://www.reuters.com/article/us-belarus-election-borders-idUSKBN27L2KF","belarus","ban on all regions/total border closure"
"Belize","BLZ",20201129,"C8: International travel controls",1,NA,"No policy change.    https://web.archive.org/web/20201205080056/https://www.gov.uk/foreign-travel-advice/belize/entry-requirements","belize","screening arrivals"
"Bermuda","BMU",20201120,"C8: International travel controls",2,NA,"No policy change. Quarantining or a negative test result are required.  https://web.archive.org/web/20201130003335/https://www.gov.bm/coronavirus-travellers","bermuda","quarantine arrivals from some/ all regions"
"Bolivia","BOL",20201201,"C8: International travel controls",0,NA,"Air borders open and commercial flights are permitted to operate. Returning Bolivian citizens and list of others such as diplomats, international organisations and drivers of international goods and cargo permitted to return with no enforced quarantine providing they submit valid certification of negative COVID-19 PCR test prior to flight.     http://web.archive.org/web/20201207174911/https://bo.usembassy.gov/covid-19-information/ ","bolivia","no restrictions"
"Brazil","BRA",20201112,"C8: International travel controls",1,NA,"An additional 30 days ban on the entry of foreigners by land and sea.      Link:  https://web.archive.org/web/20201208043537/http://www.planalto.gov.br/ccivil_03/Portaria/PRT/Portaria-518-20-ccv.htm  ","brazil","screening arrivals"
"Barbados","BRB",20201130,"C8: International travel controls",2,NA,"No change ","barbados","quarantine arrivals from some/ all regions"
